unnamed:_0,area,item,year,hg_ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,cluster
0,Albania,Maize,1990,36613,1485.0,121.0,16.37,3
1,Albania,Potatoes,1990,66667,1485.0,121.0,16.37,3
2,Albania,"Rice, paddy",1990,23333,1485.0,121.0,16.37,3
3,Albania,Sorghum,1990,12500,1485.0,121.0,16.37,3
4,Albania,Soybeans,1990,7000,1485.0,121.0,16.37,3
5,Albania,Wheat,1990,30197,1485.0,121.0,16.37,3
6,Albania,Maize,1991,29068,1485.0,121.0,15.36,3
7,Albania,Potatoes,1991,77818,1485.0,121.0,15.36,3
8,Albania,"Rice, paddy",1991,28538,1485.0,121.0,15.36,3
9,Albania,Sorghum,1991,6667,1485.0,121.0,15.36,3
10,Albania,Soybeans,1991,6066,1485.0,121.0,15.36,3
11,Albania,Wheat,1991,20698,1485.0,121.0,15.36,3
12,Albania,Maize,1992,24876,1485.0,121.0,16.06,3
13,Albania,Potatoes,1992,82920,1485.0,121.0,16.06,3
14,Albania,"Rice, paddy",1992,40000,1485.0,121.0,16.06,3
15,Albania,Sorghum,1992,3747,1485.0,121.0,16.06,3
16,Albania,Soybeans,1992,4507,1485.0,121.0,16.06,3
17,Albania,Wheat,1992,24388,1485.0,121.0,16.06,3
18,Albania,Maize,1993,24185,1485.0,121.0,16.05,3
19,Albania,Potatoes,1993,98446,1485.0,121.0,16.05,3
20,Albania,"Rice, paddy",1993,41786,1485.0,121.0,16.05,3
21,Albania,Soybeans,1993,7998,1485.0,121.0,16.05,3
22,Albania,Wheat,1993,29976,1485.0,121.0,16.05,3
23,Albania,Maize,1994,25848,1485.0,201.0,16.96,3
24,Albania,Potatoes,1994,81404,1485.0,201.0,16.96,3
25,Albania,Soybeans,1994,7927,1485.0,201.0,16.96,3
26,Albania,Wheat,1994,24745,1485.0,201.0,16.96,3
27,Albania,Maize,1995,31300,1485.0,251.0,15.67,3
28,Albania,Potatoes,1995,111323,1485.0,251.0,15.67,3
29,Albania,Soybeans,1995,11791,1485.0,251.0,15.67,3
30,Albania,Wheat,1995,28703,1485.0,251.0,15.67,3
31,Albania,Maize,1996,32604,1485.0,313.96,15.64,3
32,Albania,Potatoes,1996,106138,1485.0,313.96,15.64,3
33,Albania,Soybeans,1996,15480,1485.0,313.96,15.64,3
34,Albania,Wheat,1996,21741,1485.0,313.96,15.64,3
35,Albania,Maize,1997,31862,1485.0,376.93,15.9,3
36,Albania,Potatoes,1997,109874,1485.0,376.93,15.9,3
37,Albania,Soybeans,1997,12768,1485.0,376.93,15.9,3
38,Albania,Wheat,1997,28516,1485.0,376.93,15.9,3
39,Albania,Maize,1998,33416,1485.0,439.89,16.27,3
40,Albania,Potatoes,1998,127212,1485.0,439.89,16.27,3
41,Albania,Soybeans,1998,14327,1485.0,439.89,16.27,3
42,Albania,Wheat,1998,28037,1485.0,439.89,16.27,3
43,Albania,Maize,1999,37455,1485.0,502.86,16.57,3
44,Albania,Potatoes,1999,142018,1485.0,502.86,16.57,3
45,Albania,Soybeans,1999,17143,1485.0,502.86,16.57,3
46,Albania,Wheat,1999,24954,1485.0,502.86,16.57,3
47,Albania,Maize,2000,38811,1485.0,565.82,16.67,3
48,Albania,Potatoes,2000,141228,1485.0,565.82,16.67,3
49,Albania,Soybeans,2000,15000,1485.0,565.82,16.67,3
50,Albania,Wheat,2000,30455,1485.0,565.82,16.67,3
51,Albania,Maize,2001,38135,1485.0,628.79,16.59,3
52,Albania,Potatoes,2001,148818,1485.0,628.79,16.59,3
53,Albania,Soybeans,2001,20000,1485.0,628.79,16.59,3
54,Albania,Wheat,2001,28220,1485.0,628.79,16.59,3
55,Albania,Maize,2002,39460,1485.0,691.75,16.47,3
56,Albania,Potatoes,2002,153868,1485.0,691.75,16.47,3
57,Albania,Soybeans,2002,20000,1485.0,691.75,16.47,3
58,Albania,Wheat,2002,31617,1485.0,691.75,16.47,3
59,Albania,Maize,2004,46197,1485.0,817.68,16.16,3
60,Albania,Potatoes,2004,149346,1485.0,817.68,16.16,3
61,Albania,Soybeans,2004,13333,1485.0,817.68,16.16,3
62,Albania,Wheat,2004,31130,1485.0,817.68,16.16,3
63,Albania,Maize,2005,45442,1485.0,880.64,15.67,3
64,Albania,Potatoes,2005,167061,1485.0,880.64,15.67,3
65,Albania,Soybeans,2005,17500,1485.0,880.64,15.67,3
66,Albania,Wheat,2005,31582,1485.0,880.64,15.67,3
67,Albania,Maize,2006,50111,1485.0,943.61,15.92,3
68,Albania,Potatoes,2006,170745,1485.0,943.61,15.92,3
69,Albania,Soybeans,2006,20000,1485.0,943.61,15.92,3
70,Albania,Wheat,2006,30787,1485.0,943.61,15.92,3
71,Albania,Maize,2007,46732,1485.0,1006.57,16.67,3
72,Albania,Potatoes,2007,188902,1485.0,1006.57,16.67,3
73,Albania,Soybeans,2007,20000,1485.0,1006.57,16.67,3
74,Albania,Wheat,2007,35496,1485.0,1006.57,16.67,3
75,Albania,Maize,2008,50000,1485.0,1069.54,16.71,3
76,Albania,Potatoes,2008,193878,1485.0,1069.54,16.71,3
77,Albania,Soybeans,2008,20000,1485.0,1069.54,16.71,3
78,Albania,Wheat,2008,40168,1485.0,1069.54,16.71,3
79,Albania,Maize,2009,55693,1485.0,1132.5,16.73,3
80,Albania,Potatoes,2009,219780,1485.0,1132.5,16.73,3
81,Albania,Soybeans,2009,16667,1485.0,1132.5,16.73,3
82,Albania,Wheat,2009,40229,1485.0,1132.5,16.73,3
83,Albania,Maize,2010,66790,1485.0,1311.17,16.52,3
84,Albania,Potatoes,2010,231111,1485.0,1311.17,16.52,3
85,Albania,Soybeans,2010,16667,1485.0,1311.17,16.52,3
86,Albania,Wheat,2010,39905,1485.0,1311.17,16.52,3
87,Albania,Maize,2011,59869,1485.0,1302.63,16.45,3
88,Albania,Potatoes,2011,242211,1485.0,1302.63,16.45,3
89,Albania,Soybeans,2011,18519,1485.0,1302.63,16.45,3
90,Albania,Wheat,2011,42301,1485.0,1302.63,16.45,3
91,Albania,Maize,2012,67290,1485.0,766.25,16.7,3
92,Albania,Potatoes,2012,250538,1485.0,766.25,16.7,3
93,Albania,Soybeans,2012,13333,1485.0,766.25,16.7,3
